club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1032,fc-reading,Fc Reading,GB1,33.66,26,25.9,12,46.2,6,Select Car Leasing Stadium,24161,+£8.37m,Brian McDermott,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
2323,orduspor,Orduspor,TR1,,0,,0,,0,19 Eylül Stadyum,11024,+-0,Héctor Cúper,https://www.transfermarkt.co.uk/orduspor/startseite/verein/2323
1387,acn-siena-1904,Acn Siena 1904,IT1,4.32,30,26.2,6,20.0,2,Artemio Franchi,15373,£-6Th.,Serse Cosmi,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
3592,kryvbas-kryvyi-rig,Kryvbas Kryvyi Rig,UKR1,2.95,24,24.5,2,8.3,0,Shakhty Zhovtneva,2500,£-270Th.,Oleg Taran,https://www.transfermarkt.co.uk/kryvbas-kryvyi-rig/startseite/verein/3592
1071,wigan-athletic,Wigan Athletic,GB1,12.38,29,26.5,14,48.3,6,DW Stadium,25133,£-140Th.,Roberto Martínez,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
2703,spartak-vladikavkaz,Spartak Vladikavkaz,RU1,,1,20.0,0,,0,Republican Stadium Spartak,32464,+-0,Vladimir Gazzaev,https://www.transfermarkt.co.uk/spartak-vladikavkaz/startseite/verein/2703
142,real-saragossa,Real Saragossa,ES1,22.86,24,26.6,5,20.8,0,La Romareda,33068,+-0,Manolo Jiménez,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
566,beerschot-ac,Beerschot Ac,BE1,,0,,0,,0,Olympisch Stadion,12771,+-0,Adrie Koster,https://www.transfermarkt.co.uk/beerschot-ac/startseite/verein/566
1436,sc-beira-mar,Sc Beira Mar,PO1,135.0,22,27.5,9,40.9,0,Estádio Mário Duarte,12000,+-0,Ulisses Morais,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
4750,sc-olhanense,Sc Olhanense,PO1,68.0,22,24.1,9,40.9,0,Estádio José Arcanjo,10080,+-0,Abel Xavier,https://www.transfermarkt.co.uk/sc-olhanense/startseite/verein/4750
23,eintracht-braunschweig,Eintracht Braunschweig,L1,6.48,27,24.9,3,11.1,0,EINTRACHT-Stadion,23325,+-0,Torsten Lieberknecht,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
2227,sk-tavriya-simferopol,Sk Tavriya Simferopol,UKR1,,0,,0,,0,RS Lokomotiv,19978,+-0,Giannis Christopoulos,https://www.transfermarkt.co.uk/sk-tavriya-simferopol/startseite/verein/2227
12438,volga-nizhniy-novgorod,Volga Nizhniy Novgorod,RU1,,0,,0,,0,Zentralstadion Lokomotiv,17856,+-0,Yuriy Kalitvintsev,https://www.transfermarkt.co.uk/volga-nizhniy-novgorod/startseite/verein/12438
2292,elazigspor,Elazigspor,TR1,563.0,40,23.2,0,,0,Elazığ Doğukent Stadı,2500,+£44Th.,Trond Sollied,https://www.transfermarkt.co.uk/elazigspor/startseite/verein/2292
1210,as-livorno,As Livorno,IT1,225.0,25,27.0,0,,0,Armando Picchi,19238,+-0,Davide Nicola,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1627,catania-calcio,Catania Calcio,IT1,6.56,25,26.8,5,20.0,0,Cibali - Angelo Massimino,20016,+-0,Rolando Maran,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
16245,fk-sevastopol,Fk Sevastopol,UKR1,,0,,0,,0,SK Sevastopol,5826,+-0,Oleg Kononov,https://www.transfermarkt.co.uk/fk-sevastopol/startseite/verein/16245
1423,fc-valenciennes,Fc Valenciennes,FR1,18.41,29,25.6,11,37.9,2,Stade du Hainaut,25000,+£1.35m,Daniel Sanchez,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
750,fc-sochaux-montbeliard,Fc Sochaux Montbeliard,FR1,17.51,24,24.8,8,33.3,3,Stade Auguste-Bonal,20005,+£720Th.,Eric Hély,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
1147,ac-ajaccio,Ac Ajaccio,FR1,16.52,25,26.8,10,40.0,7,Stade François-Coty,10446,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
1411,raec-mons,Raec Mons,BE1,,0,,0,,0,Charles Tondreau Stadion,12662,+-0,Enzo Scifo,https://www.transfermarkt.co.uk/raec-mons/startseite/verein/1411
3302,ud-almeria,Ud Almeria,ES1,,28,25.5,14,50.0,3,Power Horse Stadium,15274,€-17.00m,Francisco Rodríguez,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
993,fc-cordoba,Fc Cordoba,ES1,,24,27.1,3,12.5,0,Nuevo Arcángel,21822,+-0,Albert Ferrer,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
20100,fc-vestsjaelland,Fc Vestsjaelland,DK1,,0,,0,,0,Harboe Arena,10000,+-0,Michael Hansen,https://www.transfermarkt.co.uk/fc-vestsjaelland/startseite/verein/20100
20698,balikesirspor,Balikesirspor,TR1,,23,22.6,1,4.3,0,Balıkesir Atatürk,15800,+-0,Ismail Ertekin,https://www.transfermarkt.co.uk/balikesirspor/startseite/verein/20698
6894,kayseri-erciyesspor,Kayseri Erciyesspor,TR1,,0,,0,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,+-0,Hikmet Karaman,https://www.transfermarkt.co.uk/kayseri-erciyesspor/startseite/verein/6894
5572,niki-volou,Niki Volou,GR1,,28,26.7,9,32.1,2,Panthessaliko Stadio,22700,+-0,Wiljan Vloet,https://www.transfermarkt.co.uk/niki-volou/startseite/verein/5572
5220,gs-ergotelis,Gs Ergotelis,GR1,,3,23.0,0,,0,Pankritio Stadio,25780,+-0,Juan Ferrando,https://www.transfermarkt.co.uk/gs-ergotelis/startseite/verein/5220
1429,cesena-fc,Cesena Fc,IT1,,26,25.0,4,15.4,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,Pierpaolo Bisoli,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
2783,metalurg-donetsk,Metalurg Donetsk,UKR1,,0,,0,,0,Metalurg,5090,+-0,Volodymyr Pyatenko,https://www.transfermarkt.co.uk/metalurg-donetsk/startseite/verein/2783
1186,torpedo-moskau,Torpedo Moskau,RU1,,25,27.3,8,32.0,2,Luzhniki Stadium,81000,€-2.92m,Nikolay Savichev,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
1039,queens-park-rangers,Queens Park Rangers,GB1,,30,25.0,18,60.0,8,Loftus Road Stadium,18360,+€900k,Harry Redknapp,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
14171,thonon-evian-grand-geneve-fc,Thonon Evian Grand Geneve Fc,FR1,,28,27.0,6,21.4,1,Stade Joseph-Moynat,3600,+-0,Pascal Dupraz,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
3327,fc-penafiel,Fc Penafiel,PO1,,26,27.6,4,15.4,0,Estádio Municipal 25 de Abril,5230,+-0,Ricardo Chéu,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327
68608,cf-os-belenenses,Cf Os Belenenses,PO1,,28,24.8,4,14.3,0,Estádio do Restelo,19980,+-0,Lito Vidigal,https://www.transfermarkt.co.uk/cf-os-belenenses/startseite/verein/68608
204,lierse-sk,Lierse Sk,BE1,,0,,0,,0,Herman Vanderpoortenstadion,14538,+-0,Stanley Menzo,https://www.transfermarkt.co.uk/lierse-sk/startseite/verein/204
1455,fc-dordrecht,Fc Dordrecht,NL1,,28,22.4,11,39.3,0,Matchoholic Stadion,4235,+-0,Ernie Brandts,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
976,cf-uniao-madeira,Cf Uniao Madeira,PO1,,6,22.3,0,,0,Centro Desportivo da Madeira,2500,+-0,Luís Norton de Matos,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
11126,mordovia-saransk,Mordovia Saransk,RU1,,0,,0,,0,Mordovia Arena,44442,+-0,Andrey Gordeev,https://www.transfermarkt.co.uk/mordovia-saransk/startseite/verein/11126
3558,gfc-ajaccio,Gfc Ajaccio,FR1,585.0,22,23.9,2,9.1,0,Stade Ange-Casanova,4050,+-0,Thierry Laurey,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016 ,UKR1,,0,,0,,0,Slavutych Arena,11883,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,,0,,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
28956,ael-kalloni,Ael Kalloni,GR1,,0,,0,,0,Stadio Mytilinis,4000,+-0,Thalis Theodoridis,https://www.transfermarkt.co.uk/ael-kalloni/startseite/verein/28956
4102,carpi-fc-1909,Carpi Fc 1909,IT1,1.24,31,22.8,6,19.4,0,Sandro Cabassi,5510,+£540Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,,5,26.2,3,60.0,1,Stadio Komotinis OPAP,5601,+-0,José Manuel Roca,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
3216,mersin-idmanyurdu,Mersin Idmanyurdu,TR1,,0,,0,,0,Mersin Stadyumu,25000,+-0,Mesut Bakkal,https://www.transfermarkt.co.uk/mersin-idmanyurdu/startseite/verein/3216
825,eskisehirspor,Eskisehirspor,TR1,1.1,21,21.2,2,9.5,0,Eskişehir Yeni Stadyum,34930,+£15Th.,Ilhan Mayakan,https://www.transfermarkt.co.uk/eskisehirspor/startseite/verein/825
6414,metalist-kharkiv,Metalist Kharkiv,UKR1,,0,,0,,0,OSK Metalist,38685,+-0,Oleksandr Sevidov,https://www.transfermarkt.co.uk/metalist-kharkiv/startseite/verein/6414
2439,kuban-krasnodar,Kuban Krasnodar,RU1,,0,,0,,0,Kuban Stadium,31654,+-0,Dmitri Khokhlov,https://www.transfermarkt.co.uk/kuban-krasnodar/startseite/verein/2439
2990,academica-coimbra,Academica Coimbra,PO1,4.91,30,26.2,12,40.0,2,Estádio Cidade de Coimbra,29744,+-0,José Viterbo,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
3691,tom-tomsk,Tom Tomsk,RU1,4.96,23,25.1,2,8.7,0,Trud,10028,+£156Th.,Valeri Petrakov,https://www.transfermarkt.co.uk/tom-tomsk/startseite/verein/3691
2451,inverness-caledonian-thistle-fc,Inverness Caledonian Thistle Fc,SC1,4.3,24,24.1,7,29.2,0,Tulloch Caledonian Stadium,7750,+£209Th.,Richie Foran,https://www.transfermarkt.co.uk/inverness-caledonian-thistle-fc/startseite/verein/2451
105,sv-darmstadt-98,Sv Darmstadt 98,L1,15.37,27,24.8,7,25.9,2,Merck-Stadion am Böllenfalltor,17400,+£270Th.,Norbert Meier,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
4482,volyn-lutsk,Volyn Lutsk,UKR1,1.73,26,21.9,1,3.8,0,Stadion Avangard,12080,+-0,Vitaliy Kvartsyanyi,https://www.transfermarkt.co.uk/volyn-lutsk/startseite/verein/4482
339,dnipro-dnipropetrovsk,Dnipro Dnipropetrovsk,UKR1,,0,,0,,0,Meteor,24381,+-0,Dmytro Mykhaylenko,https://www.transfermarkt.co.uk/dnipro-dnipropetrovsk/startseite/verein/339
4795,fc-ingolstadt-04,Fc Ingolstadt 04,L1,11.68,32,25.4,12,37.5,2,Audi Sportpark,15800,£-180Th.,Markus Kauczinski,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
6,adanaspor,Adanaspor,TR1,7.04,27,24.0,11,40.7,1,Yeni Adana Stadyumu,33000,+£270Th.,Engin Ipekoglu,https://www.transfermarkt.co.uk/adanaspor/startseite/verein/6
2079,veria-nps,Veria Nps,GR1,4.88,29,25.9,5,17.2,0,Dimotiko Stadio Verias,6350,+-0,Dimitrios Eleftheropoulos,https://www.transfermarkt.co.uk/veria-nps/startseite/verein/2079
524,gaziantepspor,Gaziantepspor,TR1,,0,,0,,0,Gaziantep Stadyumu,33502,+-0,Ismail Kartal,https://www.transfermarkt.co.uk/gaziantepspor/startseite/verein/524
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,5.38,28,24.5,6,21.4,1,Adriatico,20476,+£2.48m,Massimo Oddo,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
47,iraklis-thessaloniki,Iraklis Thessaloniki,GR1,3.4,31,22.8,8,25.8,0,Kaftanzoglio Stadio,27770,+-0,Nikolaos Papadopoulos,https://www.transfermarkt.co.uk/iraklis-thessaloniki/startseite/verein/47
458,palermo-fc,Palermo Fc,IT1,4.39,25,26.2,4,16.0,0,"Comunale Renzo Barbera ""La Favorita""",36365,+£1.89m,Davide Ballardini,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
289,afc-sunderland,Afc Sunderland,GB1,16.79,27,24.9,13,48.1,3,Stadium of Light,48707,£-216Th.,Sam Allardyce,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
641,fc-middlesbrough,Fc Middlesbrough,GB1,48.96,26,26.3,9,34.6,5,Riverside Stadium,33746,£-11.30m,Aitor Karanka,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
3008,hull-city,Hull City,GB1,19.08,27,24.6,6,22.2,3,KCOM Stadium,24983,£-720Th.,Steve Bruce,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
968,kvc-westerlo,Kvc Westerlo,BE1,9.68,29,24.5,16,55.2,2,Het Kuipje,8035,£-450Th.,Bob Peeters,https://www.transfermarkt.co.uk/kvc-westerlo/startseite/verein/968
1159,as-nancy-lorraine,As Nancy Lorraine,FR1,16.88,30,24.2,16,53.3,4,Stade Marcel-Picot,20087,+-0,Pablo Correa,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
2448,sporting-gijon,Sporting Gijon,ES1,25.52,26,25.6,6,23.1,4,El Molinón - Enrique Castro Quini,30000,£-225Th.,Abelardo,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
595,sc-bastia,Sc Bastia,FR1,8.96,28,27.7,7,25.0,2,Stade Armand-Cesari,16480,+-0,François Ciccolini,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
41,hamburger-sv,Hamburger Sv,L1,32.9,26,24.0,9,34.6,1,Volksparkstadion,57000,+£4.28m,Markus Gisdol,https://www.transfermarkt.co.uk/hamburger-sv/startseite/verein/41
3690,ska-khabarovsk,Ska Khabarovsk,RU1,7.09,27,25.2,4,14.8,2,Lenin Stadion,15200,£-28Th.,Aleksey Poddubskiy,https://www.transfermarkt.co.uk/ska-khabarovsk/startseite/verein/3690
192,roda-jc-kerkrade,Roda Jc Kerkrade,NL1,5.83,27,23.0,14,51.9,1,Parkstad Limburg Stadion,19979,+£158Th.,Robert Molenaar,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
1084,fc-malaga,Fc Malaga,ES1,20.97,28,25.0,6,21.4,0,La Rosaleda,30044,+-0,Míchel,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
8838,zirka-kropyvnytskyi,Zirka Kropyvnytskyi,UKR1,,1,23.0,0,,0,Zirka,14628,+-0,Roman Monarev,https://www.transfermarkt.co.uk/zirka-kropyvnytskyi/startseite/verein/8838
22110,fc-helsingor,Fc Helsingor,DK1,4.95,24,25.6,6,25.0,3,Helsingør Ny Stadion,4000,+-0,Christian Lönstrup,https://www.transfermarkt.co.uk/fc-helsingor/startseite/verein/22110
16247,pfk-stal-kamyanske,Pfk Stal Kamyanske,UKR1,,0,,0,,0,Obolon,5100,+-0,Eghishe Melikyan,https://www.transfermarkt.co.uk/pfk-stal-kamyanske/startseite/verein/16247
2944,ankaraspor,Ankaraspor,TR1,2.75,30,25.5,2,6.7,0,Osmanlı Stadı,19626,+£172Th.,Bülent Uygun,https://www.transfermarkt.co.uk/ankaraspor/startseite/verein/2944
1506,kardemir-karabukspor,Kardemir Karabukspor,TR1,,22,20.5,0,,0,Dr. Necmettin Şeyhoğlu,12400,+-0,Erkan Sözeri,https://www.transfermarkt.co.uk/kardemir-karabukspor/startseite/verein/1506
21957,ao-platanias,Ao Platanias,GR1,,0,,0,,0,Dimotiko Gipedo Perivolia,3700,+-0,Georgios Paraschos,https://www.transfermarkt.co.uk/ao-platanias/startseite/verein/21957
5219,aok-kerkyra,Aok Kerkyra,GR1,,7,22.1,2,28.6,0,Ethniko Stadio Kerkyras,3000,+-0,Dimitrios Eleftheropoulos,https://www.transfermarkt.co.uk/aok-kerkyra/startseite/verein/5219
2760,partick-thistle-fc,Partick Thistle Fc,SC1,4.3,21,26.5,2,9.5,0,The Energy Check Stadium at Firhill,10102,+-0,Alan Archibald,https://www.transfermarkt.co.uk/partick-thistle-fc/startseite/verein/2760
897,deportivo-la-coruna,Deportivo La Coruna,ES1,6.95,24,26.2,3,12.5,0,Riazor,32912,+£1.53m,Pepe Mel,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
472,ud-las-palmas,Ud Las Palmas,ES1,20.7,27,25.9,6,22.2,1,Estadio de Gran Canaria,32400,+£1.30m,Manolo Márquez,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
512,stoke-city,Stoke City,GB1,53.55,29,26.1,14,48.3,7,bet365 Stadium,30089,+£8.42m,Mark Hughes,https://www.transfermarkt.co.uk/stoke-city/startseite/verein/512
2288,swansea-city,Swansea City,GB1,35.06,23,24.8,21,91.3,3,Liberty Stadium,21088,£-761Th.,Paul Clement,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
40426,fk-tosno,Fk Tosno,RU1,,0,,0,,0,Petrovsky,20985,+-0,Dmitri Parfenov,https://www.transfermarkt.co.uk/fk-tosno/startseite/verein/40426
4128,amkar-perm,Amkar Perm,RU1,3.67,27,24.1,0,,0,Zvezda,17000,+-0,Gadzhi Gadzhiev,https://www.transfermarkt.co.uk/amkar-perm/startseite/verein/4128
498,ksc-lokeren,Ksc Lokeren,BE1,,0,,0,,0,Daknamstadion,12000,+-0,Peter Maes,https://www.transfermarkt.co.uk/ksc-lokeren/startseite/verein/498
2700,anzhi-makhachkala,Anzhi Makhachkala,RU1,2.52,27,20.7,0,,0,RDYuSSh MinObrNauki RD Politekh Makhachkala,1600,+£22Th.,Magomed Adiev,https://www.transfermarkt.co.uk/anzhi-makhachkala/startseite/verein/2700
642,de-graafschap-doetinchem,De Graafschap Doetinchem,NL1,6.23,27,24.1,2,7.4,1,De Vijverberg,12600,+-0,Henk de Jong,https://www.transfermarkt.co.uk/de-graafschap-doetinchem/startseite/verein/642
798,sbv-excelsior-rotterdam,Sbv Excelsior Rotterdam,NL1,6.37,25,21.7,6,24.0,0,Van Donge & De Roo Stadion - Woudestein,4400,+£720Th.,Adrie Poldervaart,https://www.transfermarkt.co.uk/sbv-excelsior-rotterdam/startseite/verein/798
19657,vendsyssel-ff,Vendsyssel Ff,DK1,4.05,25,25.1,9,36.0,0,Nord Energi Arena,10000,£-90Th.,Jens Berthel Askou,https://www.transfermarkt.co.uk/vendsyssel-ff/startseite/verein/19657
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+£90Th.,Lorenzo D'Anna,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
2672,apo-levadiakos,Apo Levadiakos,GR1,5.69,26,26.4,12,46.2,1,Stadio Livadias,5915,+-0,Apostolos Mantzios,https://www.transfermarkt.co.uk/apo-levadiakos/startseite/verein/2672
8970,frosinone-calcio,Frosinone Calcio,IT1,16.94,30,24.8,11,36.7,1,Benito Stirpe,16227,+£6.49m,Moreno Longo,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
19771,akhisarspor,Akhisarspor,TR1,1.35,30,22.0,2,6.7,0,Spor Toto Akhisar Stadyumu,12139,+£108Th.,Safet Susic,https://www.transfermarkt.co.uk/akhisarspor/startseite/verein/19771
20,bursaspor,Bursaspor,TR1,7.99,31,23.8,9,29.0,2,Bitci Timsah Park,43331,+£2.49m,Samet Aybaba,https://www.transfermarkt.co.uk/bursaspor/startseite/verein/20
9007,arsenal-kiew,Arsenal Kiew,UKR1,,0,,0,,0,NSK Olimpisky,70050,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/arsenal-kiew/startseite/verein/9007
132,nac-breda,Nac Breda,NL1,6.44,29,23.6,9,31.0,5,Rat Verlegh Stadion,19000,+£819Th.,Jo Jansen,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
855,ea-guingamp,Ea Guingamp,FR1,15.71,26,24.4,7,26.9,4,Stade du Roudourou,18120,+£1.18m,Antoine Kombouaré,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
